Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection
MAG,20,Haas F1 Team,5.0,0 days 00:01:20.224000,1.0,HARD,5.0,0 days 01:07:42.133000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
STR,18,Aston Martin,5.0,0 days 00:01:20.438000,1.0,HARD,6.0,0 days 01:07:42.674000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
PER,11,Red Bull Racing,5.0,0 days 00:01:16.269000,2.0,HARD,4.0,0 days 01:07:54.013000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
ZHO,24,Alfa Romeo,5.0,0 days 00:01:16.926000,2.0,HARD,4.0,0 days 01:07:56.688000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
HUL,27,Haas F1 Team,5.0,0 days 00:01:17.045000,2.0,HARD,4.0,0 days 01:07:58.092000,1,True,25.5,42.4,44.0,1013.5,False,1.3,161
VER,1,Red Bull Racing,6.0,0 days 00:01:17.640000,1.0,MEDIUM,6.0,0 days 01:08:42.024000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
ALO,14,Aston Martin,6.0,0 days 00:01:17.952000,1.0,HARD,7.0,0 days 01:08:44.198000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
OCO,31,Alpine,6.0,0 days 00:01:18.731000,1.0,MEDIUM,6.0,0 days 01:08:48.196000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
SAI,55,Ferrari,6.0,0 days 00:01:18.764000,1.0,HARD,6.0,0 days 01:08:49.343000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
HAM,44,Mercedes,6.0,0 days 00:01:18.958000,1.0,MEDIUM,6.0,0 days 01:08:50.506000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
LEC,16,Ferrari,6.0,0 days 00:01:18.829000,1.0,HARD,6.0,0 days 01:08:51.180000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
GAS,10,Alpine,6.0,0 days 00:01:18.842000,1.0,HARD,6.0,0 days 01:08:52.286000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
RUS,63,Mercedes,6.0,0 days 00:01:18.945000,1.0,HARD,6.0,0 days 01:08:53.900000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
TSU,22,AlphaTauri,6.0,0 days 00:01:18.730000,1.0,MEDIUM,6.0,0 days 01:08:55.411000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
NOR,4,McLaren,6.0,0 days 00:01:19.045000,1.0,MEDIUM,6.0,0 days 01:08:56.948000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
PIA,81,McLaren,6.0,0 days 00:01:19.247000,1.0,HARD,6.0,0 days 01:08:58.718000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
DEV,21,AlphaTauri,6.0,0 days 00:01:19.224000,1.0,MEDIUM,6.0,0 days 01:08:59.156000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
ALB,23,Williams,6.0,0 days 00:01:19.165000,1.0,MEDIUM,6.0,0 days 01:08:59.736000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
BOT,77,Alfa Romeo,6.0,0 days 00:01:19.165000,1.0,HARD,6.0,0 days 01:09:00.637000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
SAR,2,Williams,6.0,0 days 00:01:19.312000,1.0,MEDIUM,6.0,0 days 01:09:01.223000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
MAG,20,Haas F1 Team,6.0,0 days 00:01:19.352000,1.0,HARD,6.0,0 days 01:09:02.357000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
STR,18,Aston Martin,6.0,0 days 00:01:19.785000,1.0,HARD,7.0,0 days 01:09:03.112000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
PER,11,Red Bull Racing,6.0,0 days 00:01:16.458000,2.0,HARD,5.0,0 days 01:09:10.282000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132
ZHO,24,Alfa Romeo,6.0,0 days 00:01:17.205000,2.0,HARD,5.0,0 days 01:09:13.614000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76
HUL,27,Haas F1 Team,6.0,0 days 00:01:16.991000,2.0,HARD,5.0,0 days 01:09:15.137000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76
VER,1,Red Bull Racing,7.0,0 days 00:01:17.633000,1.0,MEDIUM,7.0,0 days 01:09:59.664000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76
