Driver,DriverNumber,Team,LapNumber,LapTime,Stint,Compound,TyreLife,LapStartTime,TrackStatus,IsAccurate,AirTemp,TrackTemp,Humidity,Pressure,Rainfall,WindSpeed,WindDirection,source_file,LapTimeSeconds
HAM,44,Mercedes,6.0,0 days 00:01:18.958000,1.0,MEDIUM,6.0,0 days 01:08:50.506000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,78.958
LEC,16,Ferrari,6.0,0 days 00:01:18.829000,1.0,HARD,6.0,0 days 01:08:51.180000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,78.829
GAS,10,Alpine,6.0,0 days 00:01:18.842000,1.0,HARD,6.0,0 days 01:08:52.286000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,78.842
RUS,63,Mercedes,6.0,0 days 00:01:18.945000,1.0,HARD,6.0,0 days 01:08:53.900000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,78.945
TSU,22,AlphaTauri,6.0,0 days 00:01:18.730000,1.0,MEDIUM,6.0,0 days 01:08:55.411000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,78.73
NOR,4,McLaren,6.0,0 days 00:01:19.045000,1.0,MEDIUM,6.0,0 days 01:08:56.948000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,79.045
PIA,81,McLaren,6.0,0 days 00:01:19.247000,1.0,HARD,6.0,0 days 01:08:58.718000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,79.247
DEV,21,AlphaTauri,6.0,0 days 00:01:19.224000,1.0,MEDIUM,6.0,0 days 01:08:59.156000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,79.224
ALB,23,Williams,6.0,0 days 00:01:19.165000,1.0,MEDIUM,6.0,0 days 01:08:59.736000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,79.165
BOT,77,Alfa Romeo,6.0,0 days 00:01:19.165000,1.0,HARD,6.0,0 days 01:09:00.637000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,79.165
SAR,2,Williams,6.0,0 days 00:01:19.312000,1.0,MEDIUM,6.0,0 days 01:09:01.223000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,79.312
MAG,20,Haas F1 Team,6.0,0 days 00:01:19.352000,1.0,HARD,6.0,0 days 01:09:02.357000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,79.352
STR,18,Aston Martin,6.0,0 days 00:01:19.785000,1.0,HARD,7.0,0 days 01:09:03.112000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,79.785
PER,11,Red Bull,6.0,0 days 00:01:16.458000,2.0,HARD,5.0,0 days 01:09:10.282000,1,True,25.4,42.4,44.0,1013.5,False,1.0,132,laps_2023_monaco_R.csv,76.458
ZHO,24,Alfa Romeo,6.0,0 days 00:01:17.205000,2.0,HARD,5.0,0 days 01:09:13.614000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76,laps_2023_monaco_R.csv,77.205
HUL,27,Haas F1 Team,6.0,0 days 00:01:16.991000,2.0,HARD,5.0,0 days 01:09:15.137000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76,laps_2023_monaco_R.csv,76.991
VER,1,Red Bull,7.0,0 days 00:01:17.633000,1.0,MEDIUM,7.0,0 days 01:09:59.664000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76,laps_2023_monaco_R.csv,77.633
ALO,14,Aston Martin,7.0,0 days 00:01:17.505000,1.0,HARD,8.0,0 days 01:10:02.150000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76,laps_2023_monaco_R.csv,77.505
OCO,31,Alpine,7.0,0 days 00:01:18.782000,1.0,MEDIUM,7.0,0 days 01:10:06.927000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76,laps_2023_monaco_R.csv,78.782
SAI,55,Ferrari,7.0,0 days 00:01:18.697000,1.0,HARD,7.0,0 days 01:10:08.107000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76,laps_2023_monaco_R.csv,78.697
HAM,44,Mercedes,7.0,0 days 00:01:18.651000,1.0,MEDIUM,7.0,0 days 01:10:09.464000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76,laps_2023_monaco_R.csv,78.651
LEC,16,Ferrari,7.0,0 days 00:01:18.645000,1.0,HARD,7.0,0 days 01:10:10.009000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76,laps_2023_monaco_R.csv,78.645
GAS,10,Alpine,7.0,0 days 00:01:18.604000,1.0,HARD,7.0,0 days 01:10:11.128000,1,True,25.4,41.6,44.0,1013.5,False,0.8,76,laps_2023_monaco_R.csv,78.604
RUS,63,Mercedes,7.0,0 days 00:01:18.583000,1.0,HARD,7.0,0 days 01:10:12.845000,1,True,25.4,41.4,44.0,1013.5,False,0.6,50,laps_2023_monaco_R.csv,78.583
